41K,39K,-0.349,0.024
40Ca,39K,71.062,0.041
40Ca,41K,71.411,0.038
42Ca,39K,70.251,0.043
42Ca,41K,70.600,0.040
42Ca,40Ca,-0.811,0.016
43Ca,39K,70.693,0.042
43Ca,41K,71.042,0.039
43Ca,40Ca,-0.369,0.015
43Ca,42Ca,0.442,0.016
44Ca,39K,70.038,0.041
44Ca,41K,70.387,0.038
44Ca,40Ca,-1.024,0.013
44Ca,42Ca,-0.213,0.016
44Ca,43Ca,-0.655,0.014
46Ca,39K,70.699,0.110
46Ca,41K,71.048,0.111
46Ca,40Ca,-0.363,0.105
46Ca,42Ca,0.448,0.106
46Ca,43Ca,0.006,0.106
46Ca,44Ca,0.661,0.106
48Ca,39K,71.369,0.041
48Ca,41K,71.718,0.038
48Ca,40Ca,0.307,0.012
48Ca,42Ca,1.118,0.015
48Ca,43Ca,0.676,0.016
48Ca,44Ca,1.331,0.014
48Ca,46Ca,0.670,0.106
45Sc,39K,143.877,0.043
45Sc,41K,144.226,0.040
45Sc,40Ca,72.815,0.032
45Sc,42Ca,73.626,0.034
45Sc,43Ca,73.184,0.033
45Sc,44Ca,73.839,0.032
45Sc,46Ca,73.178,0.109
45Sc,48Ca,72.508,0.033
46Ti,39K,218.876,0.041
46Ti,41K,219.225,0.038
46Ti,40Ca,147.814,0.029
46Ti,42Ca,148.625,0.032
46Ti,43Ca,148.183,0.031
46Ti,44Ca,148.838,0.030
46Ti,46Ca,148.177,0.108
46Ti,48Ca,147.507,0.030
46Ti,45Sc,74.999,0.029
47Ti,39K,219.356,0.041
47Ti,41K,219.705,0.038
47Ti,40Ca,148.294,0.029
47Ti,42Ca,149.105,0.032
47Ti,43Ca,148.663,0.031
47Ti,44Ca,149.318,0.030
47Ti,46Ca,148.657,0.108
47Ti,48Ca,147.987,0.031
47Ti,45Sc,75.479,0.029
47Ti,46Ti,0.480,0.019
48Ti,39K,219.534,0.041
48Ti,41K,219.883,0.038
48Ti,40Ca,148.472,0.032
48Ti,42Ca,149.283,0.033
48Ti,43Ca,148.841,0.031
48Ti,44Ca,149.496,0.032
48Ti,46Ca,148.835,0.109
48Ti,48Ca,148.165,0.033
48Ti,45Sc,75.657,0.032
48Ti,46Ti,0.658,0.023
48Ti,47Ti,0.178,0.019
49Ti,39K,220.308,0.046
49Ti,41K,220.657,0.043
49Ti,40Ca,149.246,0.036
49Ti,42Ca,150.057,0.038
49Ti,43Ca,149.615,0.037
49Ti,44Ca,150.270,0.037
49Ti,46Ca,149.609,0.110
49Ti,48Ca,148.939,0.037
49Ti,45Sc,76.431,0.036
49Ti,46Ti,1.432,0.029
49Ti,47Ti,0.952,0.025
49Ti,48Ti,0.774,0.027
50Ti,39K,220.470,0.041
50Ti,41K,220.819,0.038
50Ti,40Ca,149.408,0.031
50Ti,42Ca,150.219,0.033
50Ti,43Ca,149.777,0.032
50Ti,44Ca,150.432,0.031
50Ti,46Ca,149.771,0.109
50Ti,48Ca,149.101,0.032
50Ti,45Sc,76.593,0.032
50Ti,46Ti,1.594,0.023
50Ti,47Ti,1.114,0.022
50Ti,48Ti,0.936,0.022
51V,39K,299.083,0.041
51V,41K,299.432,0.038
51V,40Ca,228.021,0.036
51V,42Ca,228.832,0.038
51V,43Ca,228.390,0.036
51V,44Ca,229.045,0.036
51V,46Ca,228.384,0.110
51V,48Ca,227.714,0.036
51V,45Sc,155.206,0.035
51V,46Ti,80.207,0.035
51V,47Ti,79.727,0.034
51V,48Ti,79.549,0.035
50Cr,39K,378.060,0.042
50Cr,41K,378.409,0.039
50Cr,40Ca,306.998,0.037
50Cr,42Ca,307.809,0.039
50Cr,43Ca,307.367,0.038
50Cr,44Ca,308.022,0.038
50Cr,46Ca,307.361,0.111
50Cr,48Ca,306.691,0.039
50Cr,45Sc,234.183,0.037
50Cr,46Ti,159.184,0.037
50Cr,47Ti,158.704,0.035
50Cr,48Ti,158.526,0.037
52Cr,39K,379.168,0.038
52Cr,41K,379.517,0.035
52Cr,40Ca,308.106,0.033
52Cr,42Ca,308.917,0.035
52Cr,43Ca,308.475,0.033
52Cr,44Ca,309.130,0.033
52Cr,46Ca,308.469,0.110
52Cr,48Ca,307.799,0.033
52Cr,45Sc,235.291,0.032
52Cr,46Ti,160.292,0.032
52Cr,47Ti,159.812,0.030
52Cr,48Ti,159.634,0.031
53Cr,39K,378.263,0.041
53Cr,41K,378.612,0.038
53Cr,40Ca,307.201,0.035
53Cr,42Ca,308.012,0.036
53Cr,43Ca,307.570,0.035
53Cr,44Ca,308.225,0.035
53Cr,46Ca,307.564,0.110
53Cr,48Ca,306.894,0.035
53Cr,45Sc,234.386,0.035
53Cr,46Ti,159.387,0.034
53Cr,47Ti,158.907,0.033
53Cr,48Ti,158.729,0.034
54Cr,39K,376.770,0.045
54Cr,41K,377.119,0.042
54Cr,40Ca,305.708,0.035
54Cr,42Ca,306.519,0.037
54Cr,43Ca,306.077,0.036
54Cr,44Ca,306.732,0.035
54Cr,46Ca,306.071,0.111
54Cr,48Ca,305.401,0.036
54Cr,45Sc,232.893,0.035
54Cr,46Ti,157.894,0.035
54Cr,47Ti,157.414,0.033
54Cr,48Ti,157.236,0.035
55Mn,39K,459.736,0.046
55Mn,41K,460.085,0.045
55Mn,40Ca,388.674,0.035
55Mn,42Ca,389.485,0.036
55Mn,43Ca,389.043,0.035
55Mn,44Ca,389.698,0.035
55Mn,46Ca,389.037,0.110
55Mn,48Ca,388.367,0.035
55Mn,45Sc,315.859,0.031
55Mn,46Ti,240.860,0.033
55Mn,47Ti,240.380,0.030
55Mn,48Ti,240.202,0.034
56Fe,39K,543.924,0.041
56Fe,41K,544.273,0.038
56Fe,40Ca,472.862,0.035
56Fe,42Ca,473.673,0.038
56Fe,43Ca,473.231,0.037
56Fe,44Ca,473.886,0.036
56Fe,46Ca,473.225,0.110
56Fe,48Ca,472.555,0.036
56Fe,45Sc,400.047,0.036
56Fe,46Ti,325.048,0.036
56Fe,47Ti,324.568,0.035
56Fe,48Ti,324.390,0.036
56Fe,55Mn,84.188,0.029
56Fe,54Cr,167.154,0.029
56Fe,53Cr,165.661,0.033
56Fe,52Cr,164.756,0.030
56Fe,50Cr,165.864,0.032
56Fe,51V,244.841,0.035
56Fe,50Ti,323.454,0.035
56Fe,49Ti,323.616,0.038
55Mn,54Cr,82.966,0.028
55Mn,53Cr,81.473,0.032
55Mn,52Cr,80.568,0.029
55Mn,50Cr,81.676,0.033
55Mn,51V,160.653,0.034
55Mn,50Ti,239.266,0.032
55Mn,49Ti,239.428,0.035
54Cr,53Cr,-1.493,0.022
54Cr,52Cr,-2.398,0.020
54Cr,50Cr,-1.290,0.027
54Cr,51V,77.687,0.030
54Cr,50Ti,156.300,0.031
54Cr,49Ti,156.462,0.035
53Cr,52Cr,-0.905,0.019
53Cr,50Cr,0.203,0.028
53Cr,51V,79.180,0.026
53Cr,50Ti,157.793,0.030
53Cr,49Ti,157.955,0.034
52Cr,50Cr,1.108,0.022
52Cr,51V,80.085,0.024
52Cr,50Ti,158.698,0.027
52Cr,49Ti,158.860,0.030
50Cr,51V,78.977,0.031
50Cr,50Ti,157.590,0.034
50Cr,49Ti,157.752,0.036
51V,50Ti,78.613,0.031
51V,49Ti,78.775,0.034
50Ti,49Ti,0.162,0.027
